Fact Checked Claim Index,Podcast Claim Index,Fact Checked Claim,Podcast Claim,Stance Agreement
10737,8196308,"Ebola is ""incredibly contagious,"" ""very transmissible"" and ""easy to catch."""," All of our policies are reactionary and are determined on a case-by-case basis. For example, let's take a second to look back on the Ebola outbreak in our hometown in Dallas, Texas. Ebola is an extremely contagious virus that causes severe bleeding organ failure and can lead to death. It's incubation period is up to three weeks long during which as we previously previously discussed infected are still contagious but asymptomatic, so in 2014, a man exposed to the Ebola virus was visiting family in Dallas while in the incubation period he first began experiencing abdominal pain nausea dizziness and headache on September 24th, and went to the emergency room in Dallas Presbyterian Hospital that. Day because the hospital did not inquire about his travel history
",1
6752,8452171,"""Corporations have NEVER made as much money as they are making now."""," We should be at 19. So again 19 to 20, so we actually are pretty cheap based on stock pricing now companies are making money. It's not like we're not make money come corporations aren't. making money corporate profits are up but here's the problem and I explain this on the Whiteboard on Instagram life. What has the company been doing? They haven't been actually researching research and development
",5
14767,8115819,"The U.S. economy is ""recovering slower than Europe """," I think to rein in our expectations when it comes to the FED hiking cycle. Although we still believe that was T to further hikes during the course of this year and one in 2020. So let's talk about Europe now, why has the European economy slowed down so dramatically? Well, you're absolutely right. Right the most significant economic disappointment during the course of twenty eighteen Seventeen was Europe you go back to 2017 Economist believe the continent had indeed achieved this escape velocity helped by the global rebound that we saw in manufacturing and trade which is we know disproportionately benefits your it's very open export orientated economies. Most economists believe that growth that we saw in 2017 two and a half percent members are strongest that we saw in a decade would have continued that momentum into 28
",4
4494,4685317,"""Measles kills 11 people in 19 years (since 2000). MMR vaccine kills 445 infants in 1 year (since 2018)."""," For Melinda and I the challenges the same. How can we do the most good for the greatest number with the resources we have?. During our discussions on this question Melinda and I read an article about the millions of children were dying every year in poor countries from diseases that we had long ago made harmless in this country measles. Malaria pneumonia Hepatitis B, yellow fever one disease that I had never heard of rotavirus was killing half a million children each year. None of them in the
",5
12448,3351354,"Only ""four countries in the world… allow abortions after 20 weeks"" of pregnancy."," They won't be maybe they'll be forced. Maybe like you have to have this abortion bitch. Yeah, no abortions are optional and when you take away the towards for people who have abortions that you are making a new world order because that is you're literally doing it, but it's just for the other side. It's a that's okay. This is a this is a discussion that is totally off to kind of off topic
",5
8229,178033,"Russia and China are ""doing naval exercises together someplace."""," Yeah, that's funny because the wall. I don't know what I would do if someone invaded thing is no one can just invade America. Russia and China came together. I study a good War but it would go if you go bad they're powerful country. Where would you invade you know, but we have Russia and China come together
",5
6818,1173663,"""Despite decades of marijuana being used for smoking in the United States, there have been no reported medical cases of lung cancer"" attributed to marijuana."," But so I stage 4 lung cancer and it's spread from my lungs to my ribs to my spine to my pelvis to my hips. So it's kind of everywhere and it was something we were blindsided by about a little over a year ago and it was it was a shock for two weeks. I'm not a smoker usually people associate lung cancer with smoking and so a lot of my doctors thought. when we were pursuing this cough that I had that it was something with allergies, maybe some type of infection or something bacterial then we just got blindsided by the diagnosis. So for the past about year and four months, it's been very much adapting My Lifestyle to kind of figure out like, okay, how do I change my life so I can live with this long as I can and then continue to move forward
",5
4089,4088835,"There are ""more gun deaths by far"" in the United States than any other country in the world."," death strangulation is always used in real life to as a common way to murder women in film. I think a lot of women in real life probably do died of strangulation by a male partner. Usually, I mean, I'm sure gun violence is like the leading cause of death of anyone in the US, but I'm sure that a lot of women are also strangled by partners and I think that. This is interesting to me because it's a very gender death you somebody who is a lot stronger than the victim has to be able to hold their neck long enough to drain the life out of them. And it's also a very intimate way to kill someone you have to be really close to them
",2
3178,11257397,The coronavirus is “simply the common cold.”," So they're trying to scare you and they're trying to get you in fear. Now, when you become fearful you lower your immune system and you preparing it to be invaded in the first place. But there are the Corona virus is a type of virus. That's pretty common around the world. It's called the Corona virus because of the way that is actually shaped in the United States
",6
5588,11277390,"Immigrants ""can show up at any embassy or consulate abroad"" to make their asylum claims."," There's a lot of forms to fill out. It's quite a complicated. So in theory anyone who is seeking protection is eligible to apply for Asylum. So as soon as you arrive in the country of choice, you could apply for Asylum and following this I should be a screening interview you get placed an accommodation and then there will be an asylum interview where you can be accepted or rejected. But in reality, it's much more complicated than that in the UK
",1
3094,7810317,Says coronavirus is just “the damn flu.”," Tonight on Tuesday night, Miami of Ohio versus Central Michigan got canceled because reportedly to students at Miami of Ohio coronavirus that is scary trying to lighten things up a little bit or not really but kind of kind of um, but yeah, I saw that game got canceled because of that. It's kind of scary. This is the whole coronavirus thing is definitely scary. It's like I mean couple years ago is Ebola and you know the swine flu, you know, it just seems like there's always something else. I can always a reason why I should be scared to go outside when I saw it
",3
10737,4703211,"Ebola is ""incredibly contagious,"" ""very transmissible"" and ""easy to catch."""," And this thing is God is this coronavirus is crazy. I was like reading up on it. They say that like one like it's more contagious than Ebola it. Because it's like Airborne, it's fun. And when that Allah is the first La one was found this weekend and it was like the moment
",5
14339,425490,"""There's a loophole where you can sell guns without a background check … 40 percent of guns are sold that way"" at gun shows and over the Internet."," So this is what's interesting like Bitcoin is legal, but it lets you get her get around these Financial restrictions and 3D printed guns are legal and they let you get around these restrictions of needing a background check. So for those who don't know in the u. When you go to buy a gun they do a quick background check on you and the guns. By our registered that is a registration number on each gun and that's connected to your name. And that's how they know what guns you have and that's how they prevent people from buying guns with 3D printed guns
",2
12011,10432667,"Marijuana today is ""genetically modified,"" with THC levels that ""far surpass the marijuana"" of the 1970s."," It should stay illegal for missiles. I think so and I you know, if you look at what's happening on the streets the black markets as cannabis has become more popular on the street. There are more and more Growers who are genetically modifying the plants to get a higher and higher THC level and that is a product of you know, obviously being on the black market and there's no controls is no regulation. There's no testing and they are artificially increasing by genetically modify this plants to get skunk, you know. Monk is a THC Rich cannabis Bud, which is about 20% You know, that is what is you know, that is what doesn't have the control that is that that is not a natural product
",2
9530,2081782,"""Fifteen out of the 20 most polluted cities in the world"" are in India and China."," The United States will withdraw. climate Accord something interesting that I found on www. Is that the United States ranks in second for the most polluted countries in the world with 15% which is behind China but 30% and in front of India. She has seven percent knowing that the United States is one of the world's top polluters the why doesn't the United States President Bush for climate change forms, if the government has a hole doesn't do anything then it's up to the people to push for a change. According to my Mercy corpse dot-org and Link the Springer
",2
11163,952512,"""Global warming is a hoax."""," Well, they do not they are able to measure the amount of Trapped gases in the atmosphere get that. Well, that would be more towards the ozone side, right? Yep. We're trying to prove global warming or not. We're not trying to prove mobile form. reduce the amount of emissions that trap gases in the atmosphere
",6
2742,12226322,Says wearing face masks is more harmful to your health than going without one.," Can you imagine planning a heist and maybe not having a death as a repercussion but it's like okay somebody's got to be the safe cracker and you picked the wrong person to crack the safe and they do it, but they take too long. So everybody kind of gets spotted. I don't know you should have masks or. But somehow because they took too long maybe a bunch of the other people are recognized. And so now on the next heist mission, you can't take those three people out because it's sort of like the authorities are looking for them
",5
1038,9287588,"Under HR 1, a person can still vote if they are 16, in the U.S. illegally, have no ID and have not registered to vote"," You make that choice is like a gue choose not to be informed. Yeah, she's got to be in for ya and really get some of the strong opinion that if you don't if you are of legal age to vote, which is why they should lower the voting age to 16. If you're not of legal age to vote and you don't vote and then you turn around and complain about who got voted in get fucked. It's not I've ever once complained like like like I I'm. Might say like wow Donald Donald Trump's real asshole
",5
6172,4488151,"""Top CEOs (are) making 300 times the average worker."""," It's not a world that wants us to be better to get better to be healthier to be safe. And what's worse is that they've convinced the under privileged people whatever you want to call him the poor sort of people that. That CEOs making an exorbitant amount of money more than the employees is. Maybe that's how it should be. That's what because they eventually see themselves as being that when I'm a CEO ma be able to make that much more money
",2
1239,2778287,"Insulin prices have ""gone THRU THE ROOF for patients/taxpayers bc of manufacturer, health plan & PBM biz practices."""," So either way we look at it somewhat someone is paying for that super expensive drug that you may be taking and so it's only a matter of time before, you know, we have to feel the full brunt of that or do it depending on what happens in the future something that I always I'm always. Butter about is the insulin problem that you know, it's a huge problem and everyone talks about it. The fact that the price of insulin just keeps increasing and the formulation of insulin. It's not necessarily different. I mean different types of insulin now, but still insulin, but the price is keeps increasing right, you know it if we add it all up impacts
",2
3739,9404575,"""Tens of thousands"" of people leave New York every week."," So it's kind of like an extension of New York into New Jersey. It's very City over there. A lot of people live their commute into New York. Yeah, and they had the lime scooters for a while. I think they stopped at they were just doing like a trial period just to see if it worked out or not
",5
1832,9869835,Says Joe Biden took a knee during the national anthem.," Am I going to show the national anthem? No, but if the federal government pays me more than the commercials do then I'll show it right. So then people were an uproar. Hey, this guy is kneeling during during the national anthem. Yeah, but 10 years, even three years prior guys were in the locker room, who knows what they were doing. Who knows what they were doing in a locker room
",5
17271,431525,"Says the United States does not ""trade as much as other developed nations."""," This is not going to happen the yield curve flattened interest rates collapsed as they said you're going to go into recession and we saw recessionary patterns in spending well-trained everything else. And then the final icing on the cake was that Donald Trump decided that trade tariffs for a good idea and maybe they are maybe they don't but then they're not a good idea if you want to keep World Trade going because it does two things one it. As well trade anyway, okay, so that's means that everybody's GDP gets hit but secondly if World Trade is mainly conducted in u. Dollars and the u. Is the largest buyer of foreign Goods
",5
18616,6001939,"""Everyone in this country has access to health care."""," We don't want to just get rid of the rhetoric. We really want some changes. Everyone should have health care. I'm not smart enough to know the best way to get there but I listened to him our Criminal Justice System needs to have more equality Economic Opportunity across the board and building up the middle. But I think there's a lot of us who won the Revolution and Elizabeth Warren's bold
",3
17942,11071469,"Children born today will carry a $30,000 share of the national debt."," But I knew that I had to be brave enough to leave for the sake of my children. And so when I left when I finally built up The Bravery I left with two suitcases. Two children and over thirty thousand dollars worth of debt. And as a mother if you don't know how to feed your children, you feel a lot of Shame and there's a lot of dark thoughts and dark energy that goes along with that. And so I really had to learn how to get curious about the energy of what I was facing in order to get through each day
",5
11256,9307646,"Says attorney general candidate Jon Richards ""went so far to say he would only enforce the laws with which he personally agreed."""," Sheriff Robinson consulted an attorney and learned if he obeyed the governor. He'd be breaking the law. In fact attorneys told Governor Richards. He'd be a criminal himself by defying judge Rice's injunction and arresting more golfers, but Governor Richards held firm stating only a decision by the Supreme Court can stop me. Thomas Hitchcock's Palmetto, Golf Club called that bet suing Sheriff Robinson
",6
11145,3396897,"""25 percent of all drug-related fatal vehicle accidents in the U.S. involve marijuana."""," Everyone knows about the risks of driving drunk you could get in the crash people could get hurt or killed but let's take a moment to look at some surprising statistics almost twenty nine people in the United States die every day and alcohol. That's one person every 50 minute, even though drunk driving fatalities have fallen by a third in the last three decades drunk driving crashes still claimed more than 10,000 lives each year many people are unaware that driving while high can be just as dangerous in 2015 forty-two percent of drivers killed in crashes tested positive for drugs not so harmless after all now is it. And get this from 2007 to 2015 marijuana use among drivers killed in crashes doubled the truth is driving while high is deadly so stop kidding yourself. If you're impaired from alcohol or drugs don't get behind the wheel. If you feel different you drive different Drive High get a DUI drive sober or get pulled over
",2
9932,905555,"""Lincoln was fervently making plans to send all freed slaves to the jungles of Central America once the (Civil War) was over. … The only thing that kept this from happening was his assassination."""," He was just he just fine on it like okay, please but she had doing that request and understand that Andrew Johnson was Pro slave. He was from the father. He was a slave e so all that stuff that Lincoln thought he was bringing back before he got assassinated Johnson just ran all of it out. I really gotta do this number. We going to take a little bit here
",5
12372,5092652,"Common Core is being ""used by the Obama Administration to turn the Department of Education into what is effectively a national school board."""," Like, I feel like that shouldn't be an issue. They probably would be way more rare. If a common core education at the very least. We're like technical education was required. I guess like the argument I hear
",5
8850,10195434,"""Over 97 percent of the scientific community … believe that humans are contributing to climate change."""," Yeah there as well terms and cool things. Yeah people really tend to overestimate how how many of the climate researchers that are. certain about climate change or humans effect on climate change because right now it's about 97% of them that say that it's caused by humans at least According to some numbers. I don't know for sure. This is not my area but that's just but still that's the number that goes it was around
",1
4066,9053698,Say Jeffrey Epstein is not dead.," The guards didn't do the rounds. He was taken off suicide watch mysteriously, but he was in a room with a concrete bed and no sheets. And so how ya how the fuck did he kill himself? He didn't ya Jeffrey Epstein did not kill himself. I mean you can barely wipe your ass with toilet paper without the thing shredding. He was gonna hang on
",2
6661,8851544,Photo shows severe flooding at a Houston airport.," I was struck by going to another part of the world, Texas. You don't think it's the Privacy is the second time in four years. Is it that Houston has been flooded. Wow, and you see water in the streets of Miami and. Those right? It's like a regular thing now well water levels are rising around the world because of climate change has occurred just till now and the the speed of it is also a very concerning because I think scientists were saying we wouldn't see a ice-free Arctic North Pole for another 20 or 30 years
",5
3195,793055,"“I pay $165 a month on my student loans for the next 13 years to pay them off. With Bernie Sanders’ plan, my student loans will be forgiven. I’ll only have to pay $450 extra in taxes a month for the next 25 years to make sure I’ll have no more student debt.”"," I've been working for a non-profit for so many years and I will continue the nonprofit World until I get them forgiven. So when I'm 42, which is not that old, I think I've been well yes to that. I will have my student loans forgiven because I'm smart about it. I enroll in things I pay them. Them and that is so important because some people are just like oh give me loans
",5
13237,1421858,Georgia has the most lax gun laws in the nation.," Rabbi said open hunting season on Jews. I haven't really read too much into it. But apparently Georgia is passing stricter gun control laws. Also along with Virginia there. I don't think they're Maastricht is Virginia, Georgia, Georgia 2019 dude George
",4
4066,11476005,Say Jeffrey Epstein is not dead.," Okay, this guy this is a bumble profile. This guy's name is Blevins and he's in his early 30s. His bio just says the clintons killed Epstein. I mean you crazy, but that's not funny. This guy this guy's bio
",3
199,7607802,"""Florida has had 119 hurricanes since 1850,” yet experts are saying “the last one was due to climate change."""," All right was Assad and DOD sound ridiculous. Okay, but it's actually fantastic. So there's a hurricane in Florida. That's ridiculous that these this girl and her dad. Get trapped in the house and it gets I've seen the trailer for this and there's much Educators that get in and it's really fucking good exactly hater
",5
11422,1082858,"""Obama Signs Bill Forgiving All Student Loan Debt."""," Your loan repayment will never exceed the payment of the 10-year standard repayment plan and your loan will also be forgiven at the end of the term the actual amount of your discretionary income is determined by a formula based on your family size and income tax returns. And check out our discretionary income calculator to find out what your discretionary income would be to pay as you earn repayment plan p aye the pay-as-you-earn repayment plan p aye is very similar to the ibr plan with pay you will not pay more than 10% of your discretionary income and your loan will also be forgiven after 20 years. This program is also sometimes referred to as Obama student loan forgiveness. The key difference is that certain loans going back to 2007 qualify for this plan with pay your loan repayment will never exceed the payment of the 10-year standard repayment plan and your loan will also be forgiven at the end of the term for both ibr and pay it might make sense to file your tax return married filing separately to qualify three revised pay-as-you-earn repayment plan repay repay is a modified version. Version of pay that has become available to borrowers after December 17 2015 unlike pay which was available for loans taken out after 2007 repay is open to all direct loan borrowers regardless of when the loan was taken out the repayment plan still caps your payment at 10% of your discretionary income and the loan will be forgiven after 20 years
",3
11872,9777322,"""There are 4.7 percent of Virginians who are minimum wage earners who are over 25 years of age working full-time and trying to raise a family."""," It's like a carbon copy of one another and so. My message our message for our campaign has been that this is actually more of a rich versus poor debate rather than Democrat versus Republican debate and the data backs it up. I'll give you some really hard-hitting data on this but the backs that up and why it's been so effective 74% of Virginians want to raise the minimum wage to a living wage, Virginia is now 74 percent Democrat. These are Republicans siding with Democrats. Need to raise the minimum wage 76% of Virginia's want to expand health care and and believe in universal healthcare 76% 83% want to ratify the Equal Rights Amendment 91% want Common Sense gun reform you would be a fool to believe that these represent Democrats Envision
",5
1806,2668715,"According to a recent CDC report, ""almost everyone — 85% — who got the coronavirus in July was wearing a mask, and they were infected anyway. So clearly (wearing a mask) doesn’t work the way they tell us it works.”"," This is like one instance where I'm like very confused. Do you see pumps picture on the plane? He's like I'm taking zero risk or whatever and he was wearing like the cheapest mask ever as long as possible. Supposedly The Masks help more for if someone's infected. They won't infect other people than actually protecting you and you don't want to rub your eyes people shouldn't rub their eyes wash your hands as much as possible use eye drops of your eyes are itchy my eyes, aren't you just talking about it now? I can't. Them I've been washing my hands a lot
",2
9518,4252725,"The Washington D.C.-area ""never has a recession."""," How sustainable do you think my business is going to be if the lights go out what happens if we actually have a power grid failure what happens if there's a natural disaster of which the server where my my stuff is, you know held on and distributed to my clients and people who are participating including this podcast what happens if those things go away well, so does the money so even they may be down for. a short period of time it makes a significant impact to your business. So it may not be the recession. It could be just the natural ebb and flow of business. But when you pay very close attention to these things that we've talked about today, you're going to be way ahead of everybody else who goes to a holy crap now, we're in a really bad situation and now we have to scramble to get things done your morale drops your customers
",5
10262,7064290,"""Whales live as long at SeaWorld"" as they do in the wild."," I'm standing there singing a hit song right isn't that how it works those those animals that are in captivity or actually exempt from the law and I'm honestly not sure why maybe they've been in captivity for too long and they won't survive on the outside. I'm not sure Marineland actually has five young beluga. Whales right now that could live up to 50 years. I think we have one of those beluga whales with us right now. Hi beluga, whale did you hear the news that whales and dolphins will no longer be able to be held in captivity in Canada anymore?
",5
4664,6807628,"Says a challenge called ""Momo"" is appearing online in apps and children’s programs and threatens kids in an attempt to force them into performing harmful acts."," Big fears now so they put out a tweet saying important capture letters. We are aware that some nasty challenges parentheses. Momo challenge are hacking into children's programs challenges appear Midway through kids YouTube for like Fortnight, Peppa Pig and to avoid detection by adults. Please be villains with your child using it images are very disturbing. So it's this then hysteria that the things that our kids love to do when the kid thing
",2
5882,614390,"""A majority of Americans now live in states where they have decided to legalize cannabis,"" including recreational and medical marijuana."," Recreational marijuana include Illinois come January 1st 2020 and it's because of financials. It's all about the money. We know that so now we have government officials that are now fighting for the right to have recreational marijuana, but it started with medical marijuana because it is something that can be used medicinally to help people with to cope with the different things that they may be helpful whether it's cancer is Illinois Colony marijuana, when they calling me cannabis, they go back and forth. Yeah because I mean we're here in Illinois. Oh and it's interesting
",5
1106,5980191,Says Joe Biden said a racial slur.," He's like, oh my God, he's like my God and he starts telling me all the stuff that's going on that he's saying that Obama has. Subject to but also Obama's little lighter on stuff than he is and as a different approach on many a day, and I know you will kick me out of the space for saying this on many a day. Joe Biden was the black man in the white house when they say, all right. First of all, I went to the black black history party at Obama's and white house and I went to one with Joe Biden. I'm just trying to chill
",5
14289,1577821,Says 1 in 7 American families is on food stamps.," So, I don't know. Maybe she had him. Yeah, maybe who knows? So the interesting thing about the food stamps has I. Grew up only buying groceries with food stamps. And so when I was a kid, it wasn't a card
",5
13061,602041,"""Abortionists have reduced our black population by more than 25 percent since 1973."""," And so the thing that was said is standing out to me and that I don't want to I don't want to go too far on that is this was being this was an injustice being committed against the. distinctive the idea of the sanctity of life of the black community and the minority Community. That's something that currently exists with like Federal support Federal subsidizing of abortions where minorities are the most are five times more likely to have an abortion then mainstream demographics. Have you seen those Planned Parenthood Billboards up the on Lancaster which is yay like demographically that's a lot more Hispanic people there in Spanish. And they're targeted for young hispanic men to get vasectomies
",2
8099,5123711,"As the number of vaccines administered to children has increased in the United States, so has the autism rate."," With autism and this study looked at those children those high-risk children after they receive the MMR vaccine and there was absolutely no correlation. So if if the MMR vaccine really did cause autism this is where it would show up and it didn't the second study was done in Japan and it looked at 300,000 patients that stopped receiving the MMR vaccine. Patients did not receive the MMR vaccine and the rates of autism kept going up. Now if again if MMR did cause autism then you know, these 300,000 patients that suddenly didn't receive this vaccine autism would plummet the rates of autism would go down dramatically and they didn't they kept going up in this study. So I also think that that's really profound and finally the last study was done
",3
5882,9860839,"""A majority of Americans now live in states where they have decided to legalize cannabis,"" including recreational and medical marijuana."," So he had a couple of knee surgeries and one of the knee surgeries actually the effect of it he had a staph infection and he was prescribed all types of medicines and they really weren't working for him and he figured out hey, I'm in a state and 2011-2012 season. I think he gets hurt. And he said he's in a state where marijuana is now legal for medical use. I wish they would call Colorado. So he's playing for the Nuggets Denver Nuggets at the time and he's in Colorado in 2012
",5
3451,11171350,"""NEW INFO SAYS KOBE BRYANT AND ALL 4 OF HIS DAUGHTER HAVE DIED FROM HELICOPTER CRASH."""," There was this more and more text messages. I'm like, I'm telling Casey sitting right next to me. I was like, they're saying that Kobe just died in a helicopter accident and I've known for a long time that Kobe likes to travel via helicopter. I mean shit man and woman and the man lives in Newport Beach, you know, the easiest way to get into downtown Los Angeles is Calabasas is the Mamba. Yeah his by helicopter
",2
17017,3690658,"At Twin River, ""we're more than competitive"" with nearby casinos in slot machine payouts."," He's basically our personal mentoring. He taught us everything we know about games. If you look in a casino right now slot machines are just traditional spinning reels and you get a payout. Millennials are turned off by it. So that's why do you want to hear about your background to go ahead rubbish background toy? So my background is pretty much the same except I didn't really get into the startup World until we took that class
",5
6773,2340305,"Amazon has a ""no-tax monopoly."""," If he sees a bad experience that a customer has he uses it as a case study to improve the company overall and not just that one person's individual experience. In 16 countries, so he has had to give up much of the power over those branches of the company since he can't be everywhere at once. Some countries are actually trying to fend off Amazon's Monopoly in certain industries in France. For example, there is a law that Mo bookstore whether it be online or in person is allowed to Discount a book by more than 5 percent off the retail price and they cannot give free shipping to entice buyers this way independent book shops in France still thriving only time is going to tell how many nations are going. to adopt Amazon in the future
",2
15307,6850445,"Says the New York Giants ""train in New Jersey, they play in New Jersey and most of their players live in New Jersey."""," Now so much of North Western New Jersey is tied to New York City. New York City is such a big city that actually spills a little bit into New Jersey and what I mean by spilling is that. You may hear New York City, but in reality, it actually might be a little of New Jersey for instance the two football teams with New York in their title the New York Jets and the New York Giants. They actually play in, New Jersey. And getting back to Newark the largest city in New Jersey
",2
5738,638509,"A recent spending bill had at least ""$1.6 billion in there ... for schools to give them an opportunity to secure them."""," She wasn't there to buy anything. She didn't have the money for it. In fact, the school district was so low on funds. She didn't even have a projector in her classroom. She wondered if milk would lend her one just long enough to teach her class
",5
16305,2633893,Says the new Dodd-Frank financial law requires a 20 percent down payment to buy a house.," I know this is not something that you need to do to prepare. Pair, but it's just something that you need to understand and know about PMI or am I stands for private mortgage insurance or just mortgage insurance simply put it's an extra fee dropped on top of your monthly mortgage. If you're down payments less than 20% The bank's think that anything that doesn't have 20% money into it down could be a risk for them because you know, God forbid something happens and you can no longer pay on the house if they've got 20% of a buffer they feel more. Countable so you have to pay an extra few hundred dollars. Sometimes hundred 200 250 bucks a month in what we call your PMI
",6
9616,5123558,"There are a ""multitude"" of vaccines that do not prevent deadly and crippling diseases."," Let and then inject it into the patient the way that the bacteria and the viruses killed is with formaldehyde so we will discuss this more later. So hold on stay tuned because formaldehyde being in vaccines is one of the most common complaints that I hear but the killed vaccine still gives the body a pathogen the body still recognizes the pathogen but it doesn't cause the disease and that's what makes this a really safe version of vaccine. It's it's good because the first exposure of many illnesses is usually the worst in the most deadly in that this type of vaccine really eliminates that risk second. You have a live or a weakened version of the virus. So what researchers do is take the deadly features off of a virus or bacteria bacteria and this elicits more of a natural replication process in your body because
",5
5303,636652,"On investigating during the Supreme Court confirmation process, ""The FBI doesn’t do that."""," PD detective strangely enough this ended up working out in Malcolm's favor as an undercover detective Roberts carried a gun even after Malcolm ordered his guards to stop carrying weapons. He used that gun to subdue Tallmadge hair after the assassination Roberts then rushed to Malcolm side to try and save him. Unfortunately the same can't be said for the FBI while the agency. Didn't directly kill Malcolm it did actively encouraged violence against him and pass along information about Malcolm's whereabouts to noi members who had already made several attempts to kill him. And now the American public knew about it
",5
10931,5539309,"""Last week's three most-viewed television programs were Sunday Night Football, Thursday Night Football and Monday Night Football."""," But he said yeah, I don't know. Yeah, so we thought we should get out of the way. Well, there's NFL games on Saturday are watching those. Some refund vocable Pat's of vocable. I'm gonna rethink my life a little bit because everyone's dog and what's the name for a sex tape? They said Rocky ASAP
",5
12636,10700282,"I have the most Grammys of anyone my age, but I haven't won one against a white person."," He liked all the rewards I've had. I have so much to be grateful for and I left Malibu realizing that and that the other Wards. I have a few of those two because I have four Grammys and I have NAACP image Awards one that I won with Stevie Wonder. I want a Grammy with Herbie Hancock. I have I think three BET Awards have a nice amount of awards to and even though I've been overlooked more times than I've been seen
",5
