Fact Checked Claim Index,Podcast Claim Index,Fact Checked Claim,Podcast Claim,Stance Agreement
11421,7125248,"""Right now, America has $1.1 trillion of student debt. That’s more than credit card debt."""," And when you have fewer people coming into the workforce paying into the Pension funds paying into the index funds, right? It suddenly starts to look like a Ponzi scheme or a pyramid scheme where the people who are trying to get out at the top with as much as they can while they can you're expecting more fresh meat to come in and hold up the bottom and there just aren't enough. Enough bodies, right? There's too much financial burden. There's too much student loan debt. There's too much inflation. It's too hard for people to start the wealth Gap is widening and it's going to exacerbate this problem as the baby boomer generation comes of retirement age begins to draw on these Pension funds begins to cash out entitlements and like we were saying earlier, you know, it's the search for yield grows ever more desperate as this pool of capital grows smaller and smaller as its has to be doled out to these people to which it is
",2
13864,1055201,Says she is a registered nurse.," Yeah, it's actually really great at the beginning because you always have this period in captive films where the captor is a little socially strange as in our last film as well. But all together like Annie's character in the beginning is she small town but she's like humble and warm and welcoming. She says she's a nurse. She splinted his legs. She said I'm up all nice there in the middle of a blizzard
",5
1010,9777258,Says a lack of transparency for small-dollar donations is the “same thing” as dark money," Breaks it down by where the money coming from beautifully and the two things that came out of that that we're really proud of is that 50% of our donations of come from people giving a hundred bucks or less. Nobody else in the Senate is even close to a second place is 25% So the majority of our money significant majority of our money from small-dollar donors and II really cool thing that came out of that is that $0 zero dollars have come from Agra corporations for us from businesses in general info. Transparency will accept donations from small businesses. We're talking people's 5 10 15 20 employees. Yeah, because we want to represent small businesses
",5
3266,7138733,Says it’s “OK to kill babies once born” in Virginia.," They know he's going to go a long. Whatever shit show comes together and you know what? It's not like we're talking about. Hey kill the babies kill the babies know we're talking about a woman having a right to do what she wants to do with her body and it not being against the law. For example, let's just say the roles were reversed and it was all women in office. Right and they were making laws that it would be a felony to masturbate men if you masturbate
",5
12882,6730874,Says Democratic Party created Planned Parenthood,"SEP.This episode of the nod is brought to you by Unstoppable a new campaign powered by Planned Parenthood. The idea behind Planned Parenthood is bigger than sexual and reproductive Health. It's about everyone having the freedom and opportunity to control their own bodies and their own Futures and Planned Parenthood believes that together when you march together vote together lead together and have each other's backs. You are unstoppable to learn more and join the movement Gente
",5
5776,12128687,Says he’s not a politician.," Posed to be and that's a kind of a question. I kept asking myself as I was watching. I'm like to see should he be a politician is yeah. What do you be bad for the system when Ryan if he's supposed to be so great. And this is like ordained from a higher power than shouldn't everybody be doing better
",5
9801,6725766,"Planned Parenthood is ""the only health care that a significant number of women get. About 30 percent of women, that's their health care."""," And that fight is now more urgent than it's ever been. If you believe that birth control should be a right not a privilege if you trust women to make choices about their reproductive health. You support Planned Parenthood. They consider getting involved. Why do you think some people support a cause but don't take the next step of actually like getting involved
",5
2834,4540281,“The (corona)virus just isn’t nearly as deadly as we thought it was.”," Hello and welcome back to Let's thinker but hey, we're going to be talking about quite a serious matter matter. Yes good jobs Tab and they words big words. We're going to be talking about the Corona virus, which is a virus. It's getting more common in Asia. Oh, what is the current of Elias? So the Corona virus is a species of virus in the subfamily of coronavirus a but by Rene, that's hard to say
",6
9801,10415916,"Planned Parenthood is ""the only health care that a significant number of women get. About 30 percent of women, that's their health care."""," Different rates and there were some races that were far more involved and therefore far more human and not only should we believe that that is a reality in the world as far as how we develop our hierarchy we should believe that's a reality and therefore we should cry try to create societies where only fit races if people get to live and get to create Society so that we can create a beautiful utopian society. I hated by many people but Margaret Sanger was a huge proclaimer in propagator of this idea part of me and she brought this to America and really the idea was Exterminating unfit lives Exterminating unfit lies and she was a part of the beginning. What is today Planned Parenthood?. But the unfortunate truth is while today most conservative evangelicals would be against abortion during that time period because of their racist beliefs they were actually Four in many ways the Eugenics movement, which is in all honesty terrifying to imagine and that's just something you hear it and you're like, oh my gosh. I hate that that does not feel good
",5
1331,2438103,Nancy Pelosi is no longer the Speaker of the House," This person is the third most powerful person in the United States according to the presidential line of succession that the president dies in a vice president dies. It is the Speaker of the House of Representatives who would be next in line to become president. The current Speaker of the House of Representatives is Nancy Pelosi. And in order to become a representative, you have to be at least 25 years old. You have to have been a citizen for 7 years and live in both the state and the area that you represent
",3
13084,8642170,"The ""working tax cut"" created ""over 40,000 new jobs in just the last four years."""," So who's getting into it who's going to make it cheaper? You know, it's good who are the tree line musk? You will make it cheaper. They just cut down because a lot of employees actually 3,000 jobs. They cut 3,000 jobs getting old. I mean, yeah, well, they're going to get shit done. They're going to get shit done
",5
7579,10155499,"Says Donald Trump ""thinks stop-and-frisk is fine."""," That's not what it's called. It's called stop question and frisk. So I know when an idiot says stop and frisk. I know where he's going. It's called stop question and frisk
",5
9616,2465683,"There are a ""multitude"" of vaccines that do not prevent deadly and crippling diseases."," It was heartbreaking a couple years ago. Maybe they should consider. Either the vaccinations were created for a purpose and they have protected protected us for decades. This is what I'm saying. I think that this is It's So extreme on both ends
",4
9987,11275532,"Millennials ""will be 75 percent of the workforce in the next 10 years."""," Anchor is everything you need to make a podcast in one place go to the App Store and download the app. A poor go to Anchor dot f m-- to get started. Okay, and we're back where we so Millennials are also the largest generation in the workforce. I thought that was an interesting statistic as of 2017. There was 56 million Millennials working or searching for a job compared to 53 million gen xers and 41 million baby boomers
",2
3202,642488,"Says of the Milwaukee mass shooter: ""Supposedly he is black. A noose was hung on his locker and he addressed the issue and he was fired! So he returned the next work day and killed who he all thought were involved."""," She stood out as a black queer woman from a low income background. She fought human rights abuses in Rio de Janeiro where people of color are at risk, they frequently become the Forgotten victims in the crossfire between police and drug cartels in the Favela streets. In fact, a black person is murdered in. All every 23 minutes and these murders are frequently committed by police Brazil has a long history of corruption in state-sponsored violence, Mariela made powerful enemies who didn't much care for how she rocked the vote. She was assassinated on March 14 2008 teen while driving away from a political event her murder sparked National protests and international condemnation her death
",5
8661,589525,"University of Texas undergraduate student debt ""is less than $21,000… probably one of the lowest debts across the nation."""," Guarantee was probably higher than yours. I had a hundred and seventy thousand dollars and unsecured debt $170,000 now 70,000 of that was one loan, but still that's $100,000 in unsecured debt. About 20,000 of it was student loan debt from college. So relatively small compared to the big some and the rest of it. The other 80,000 was a combination of credit cards and other personal loans smaller personal loans that I had taken out over the years and just didn't pay why shouldn't I didn't pay I was actually current on every single one every single payment and I had a dozen plus every single payment
",5
1832,10193856,Says Joe Biden took a knee during the national anthem.," That's been that Harry Douglas and what I did was Julio Julio starting to leave exactly what he's doing with that's he's going to make it from the highest paid player in the league to a player no longer. We'd Colin Kaepernick made the waves. He took the knee during the national anthem. That's not what we're going to talk about. We're not going to talk about the knee
",5
7921,2635042,"The Great Recession emerged ""in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm."""," They started having those Corrections. So everyone started freaking out and talking about it about. The upcoming recession that was going to happen. But as we found out the sky was not following because the data actually shows that of those Corrections. Like I said, remember they happen once a year for the past hundred and sixteen years and the data shows that 80% of those Corrections never actually turn into a bear Market, but we have to be realistic we have to take a good look at the length of this bull stock market and we remember that those bear markets are going to happen every five years or so
",5
10737,11332747,"Ebola is ""incredibly contagious,"" ""very transmissible"" and ""easy to catch."""," Frank mother-father the first replay it in my head and I think that when you had the two in this up, yeah, there's this past season this past year 2018 2018. Man, let me tell y'all song. When I say Ebola. Not now, he was y'all back nobody's out there on the field, but I could tell it. So then can I play on the next year? That's when you got the twin ourselves
",5
5284,11200742,"Says he ""did not try to leave the scene of the accident"" that led to his arrest for driving while intoxicated."," So basically Mary tells Archie that. That you know, she's like your Uncle Frank before when he was younger. He was a drunk and he did this this and this and you know, he crashed a car and it was his last DUI. So he was going to go to jail and your dad took the blame anyway, and there was all this other stuff and then the next thing you know, like Frank disappear like he like left town. He never said Thank you never said anything and then Mary finishes off the conversation with like by the way, you're also grounded
",5
3602,4635658,"""When Jesus was falsely accused of treason, Pontius Pilate gave Jesus the opportunity to face his accusers. During that sham trial, Pontius Pilate afforded more rights to Jesus than the Democrats have afforded this president in this process."""," Do you know that opinion never built anything?. We want to give your side of the story may be falling out with someone. Jesus was accused before Pilate yet. He was standing before Pilate and loads of the accusations being made to him and the Bible says in Matthew 27 for he said he answered not our word. He didn't say anything when he could just be like, you know, when someone said something and he know it's not true any want to justify itself because we all get that and you don't know but I'm a nice person really and I meant this and and and it's like and you want to give your side of the but
",2
2926,8833180,"Says 3.5 million U.S. citizens lost their employer-tied health insurance in March, while zero lost their coverage in 20 other large nations combined."," Let us follow the bad things of America. to even in case of us the main problem in Insurance based schemes is that there is an extremely powerful lobby of the Pharma and insurance companies who try to increase the drug prices and also the same time make sure that most of the needs or most of the operations or surgeries required are not covered under basic insurance schemes for the charge heavy premiums high cost low impact until Obamacare came 27 million Americans had no insurance even. Only about 10 million are still about 15 17 million Americans have no insurance coverage. And unless it becomes an emergency the remote hospital because emergency care because the court orders is free. But somebody else is paying if somebody's getting Emergency Care Free it is at my costume and playing Freeman and I'm paying premiums
",5
6632,206286,"""30,000 scientists have come forward confirming that man-made climate change is a hoax perpetuated by the elite in order to make money."""," Let's talk, but the truth is like if you invite one scientist, I believe in climate change and one scientist. It does include climate change. It's like a really uneven argument because that one scientist I believe in climate change is actually supplemented by like 10 million other scientists and other what kind the other side tables like pretty much by himself. It's almost unfair giving him as equal of a platform but the end of the day science is true whether or not you believe in and that's a line from Neil deGrasse Tyson my man and with climate change. It's a lot of identity thing is it was my okay last thing how does one date a neuroscientist?
",3
