Fact Checked Claim Index,Podcast Claim Index,Fact Checked Claim,Podcast Claim,Stance Agreement,
12085,9528354,It’s warmer on Mars than it is in parts of the United States and Canada during the polar vortex.," Let's get back in the time machine. Okay, I've landed in a different place. This isn't the Antarctic because it's warmer now. I'm in a room with a bunch of important looking people there from countries all over like Argentina Australia Belgium Chile. They're all signing a paper
",5,
10931,5491887,"""Last week's three most-viewed television programs were Sunday Night Football, Thursday Night Football and Monday Night Football."""," There are five games left that will ultimately shape the Packers playoff seeding from here on out and those five games Packers Vikings on Monday Night Football Packers Lions next weekend at noon on Sunday Saints Panthers noon on Sunday Vikings Bears noon on Sunday. And then the last game that will affect them potentially is 49ers see. Fox on Sunday Night Football the last the last game of the regular season. So those are the five games that will affect the Packers seating as things go on. If you look at all of the different combinations of those five games not including ties
",5,
9586,5968598,"Student loans from the federal government issued between 2007 and 2012 are on target ""to produce $66 billion in profits for the United States government."""," There are two groups of people who are raising our children parents often with the assistance of grandparents and aunties and uncles and our teachers, but we are not paying them their value put this now I want to put this issue in the context also of student loan debt and back to that point about disparity or. So our children who are likely to come from a family that does not own their home means that that family will not have assets that they can then go into to help that child pay for their tuition. So they're taking out student loans, which over many years have the student loans have been issued more by for-profit corporations than by the government. So our kids are coming out with all this debt and I have a whole plan for dealing with student loan debt. Now, you couple that with what might otherwise be a passion to enter the profession of teaching which is part of the true professional tradition, right but with you when you
",5,
9057,9859617,"""There is great disparity, tremendous disparity, in the (capital) funding on a per-student basis between our traditional public schools and our charter public schools."""," I just read a article in the post this morning about a mother in The Bronx. She can't get her five kids into any charter schools in the city and then that same publication wrote a post that was in favor. In favor of charter schools. So I'm looking at this post and I'm realizing they are using their platform right now in my opinion. Yeah to say look we need more Charter Schools, see how these parents can't get their kids into Charter Schools
",5,
16039,7119845,"Social Security is a ""Ponzi scheme."""," And the lender of Last Resort is the central bank and the Central Bank response to these events is to create money, which so actually the risk is shifted to everybody right? So that's that's how that's what we mean by social is right. So social policies, you know, you're talking about the social policies of. Of you know, like what you call it like Social Security and Medicare which are essentially Ponzi schemes, which are falling apart. Now you're realizing that they're going to be unfunded but all of these social policies, right? So yeah, it's not straight socialism. The government doesn't own Amazon and Microsoft and Ford, but they are they are slowly usurping power and and inserting themselves into
",1,"ANOTHER EXAMPLE OF OLD USEFUL CLAIMS!!!! Podcaster claims ""Social Security and Medicare which are essentially Ponzi scheme"". "
8314,5532145,"The U.S. has to go to ""plane graveyards"" and museums to get parts for its 20-year-old jet fighters while it sells new jets to other countries."," This is how it starts you holding out on their testing that testing the waters right now. There is our own weapons against the allowed our where weakest the so they're experimenting right now. Okay, where are we know we can take out a fighter jet? Yeah. So just a few fucking they take out the fighter jet. They didn't take the jet down
",5,
12340,596040,"""The vast majority of people in this country are keeping their (health insurance) plan."""," Tell him it's communism explain it. Why how its Marxism? What is the endgame of feminism?. If you hear a government talk about Healthcare bring up this health insurance. Just correct, you know the little bit people were like being, you know, something to knowledge that you'll get doing it charitably of course, don't call anybody an idiot, but in reality if we want Western Society to be at least saved by obviously do all the everything we just said, I just got done saying but men's voices cannot be silenced. They got to be heard
",5,
3094,4540281,Says coronavirus is just “the damn flu.”," Hello and welcome back to Let's thinker but hey, we're going to be talking about quite a serious matter matter. Yes good jobs Tab and they words big words. We're going to be talking about the Corona virus, which is a virus. It's getting more common in Asia. Oh, what is the current of Elias? So the Corona virus is a species of virus in the subfamily of coronavirus a but by Rene, that's hard to say
",5,
728,5670095,“Regulating and taxing marijuana—much like we do alcohol—would generate more than $165M in revenue starting in 2022”," Direction but there's still a lot of volatility in the space regulations are changing all the time. New markets are coming online all the time. We've got multiple bills in Congress that could change the way cannabis is view federally what that means for banking taxes and ultimately what that means for competition and what businesses are going to kind of come up come out on top and there seemed to be a little bit of a lack of understanding around that despite the interest in US markets, so I was kind of interesting. Lesson is that global trade? Especially around him is going to be very very complicated. So, you know the UN was set to vote on cannabis earlier this year
",5,
16160,3343007,"U.S. debt is ""now equal to 100 percent of the GDP."""," Right? I mean if you let's say over the next five six years, we just we do what we did from 65 to 70 if you've destroyed the value of. real treasury Holdings by a third. Then that the nominal value that debt to GDP, you know Finding might be high but but GDP will have grown a lot. So you know inflation is just the great leveler by the problem that we've had is we haven't been able to create inflation. What we've done is we've inflated asset prices hoping that somehow using a sort of free market metric, you know and sticking to that a deer runs that we would allow that to percolate into the system, right?
",5,
3556,10141480,Says an image shows a satellite view of fires in Australia.," Good Lola get out of there. I want to just be more passionate about standing up for like what I believe in and I just, you know, making more awareness to like a lot of things that are happening within our community within you know, I was seeing I just. We saw some pictures of like the bush fires in Australia. Yeah, and just I mean, I didn't know it's been since October, you know, that's how you know, I haven't been aware and so I just want to be more culturally aware and more more like just passionate about like being involved in like really standing up for like what I believe in and showing my support to like those those groups are like those communities that are like fighting for like. You know what they fighting for like their own voice to be heard and stuff like that
",2,"Podcaster claims ""We saw some pictures of like the bush fires in Australia"". "
10595,7324105,"Unlike marijuana, medical cannabis oil cannot get you high."," Yeah smoke some cannabis thinking it's good for PTSD and then jump off a roof and kill themselves because they're having such a hard time with the kind of cannabis. You didn't explain to them what I tell people who have PTSD who specifically suffer from having anxiety when they smoke cannabis like they don't smoke cannabis because every time they do they get anxious I tell them the best kind of. Medical cannabis to smoke is happen. Yeah hemp flour cross. The board is the shit for PTSD
",5,
351,10841843,It’s safer to be unvaccinated than vaccinated against COVID-19.," It was basically gone and now it's big news in this country when several dozen people get it. The measles outbreak in the state is growing 44 people sick in Minnesota. Most of those with the disease are unvaccinated. We're going to be seeing this for a while. This Minnesota outbreak is troubling because it's been linked to anti-vaxxer activism and it indicates a drop in vaccination rates, but in general here where there's good Healthcare measles has a reputation for being mild you get a rash a fever so mild that it can be a plot line for the Brady Bunch
",5,
13549,10691828,Says Texas has the 15th largest economy in the world.," So they have different freedoms to to sell their energy. So and you know, most people know this already, but Texas has tried to pull itself. Out of the United States for decades now like they've applied to secede from oh, yeah, I could understand if California they have they've applied to yeah, but the Texas by itself has one of the largest economies in the world. So everything that the United States brings to Texas. It's kind of like a poor Nation joining the EU right there
",2,"Podcaster claims ""Texas by itself has one of the largest economies in the world"". "
10931,7606395,"""Last week's three most-viewed television programs were Sunday Night Football, Thursday Night Football and Monday Night Football."""," Yeah like Mia Hamm was in it, you know. Yeah Phil Mickelson was I just the only golfer and no kid wants to grow tree Phil Mickelson. Yeah Monday night show the Monday Night Football. I searched for when I saw Disney Pleasantville. I mean how many three seasons? Yeah, maybe I don't make their rights issue name likeness of all these people
",5,
13864,5535917,Says she is a registered nurse.," I don't write them and I yell at mind if I listen to this too Marnie, I'm mad at me the other night cause problems. - morning, make sure that we're doing the thing where my yeah, I have a girlfriend or name is Marnie and McComas. She is a nurse that's a rotation. So I'm just slowly more. I you know did some things that make me feel like you're good toward the end the night my God, and so I'm in one of those moods right? It's like to joke around
",5,
18820,596040,"The Democratic health care plan is a ""government takeover of our health programs."""," Tell him it's communism explain it. Why how its Marxism? What is the endgame of feminism?. If you hear a government talk about Healthcare bring up this health insurance. Just correct, you know the little bit people were like being, you know, something to knowledge that you'll get doing it charitably of course, don't call anybody an idiot, but in reality if we want Western Society to be at least saved by obviously do all the everything we just said, I just got done saying but men's voices cannot be silenced. They got to be heard
",5,
10338,11802067,"""Abortions account for 94 percent of the services provided for pregnant women by Planned Parenthood."""," And I was like, oh, that's great. I was I was actually pretty cool to like ear my doctor basically say like, oh no, this is the best place for that. You know, and that Planned Parenthood is a trusted source for abortion care for Women's Health. And so I made an appointment at the Planned Parenthood in Pasadena grew up driving by all the time because you know, I'm from. Los Angeles and the only did abortions on Friday
",5,
9506,2108643,"Planned Parenthood is ""nothing more than a referral service. … They don’t do anything except profit from killing babies and then selling body parts of those aborted babies."""," I mean if you did or if you did. Danny would have been supporting location that does so other people can get those Services. Also Planned Parenthood provides a lot of other services as you can attest to yep. I got my my STD testing. This is my shout out to everyone to get tested
",4,"Podcaster claims ""Planned Parenthood provides a lot of other services"". "
4066,8482725,Say Jeffrey Epstein is not dead.," My favorite thing about Twitter is when the mainstream media goes. Okay, we're going to put together this story. For example Epstein yet committed suicide. They sends it out immediately Twitter. Oh how motherfucking convenient a billionaire with tons of dirt commit suicide
",3,
3364,2495301,Says the coronavirus is “a MILITARY BIO-WEAPON Developed by China's Army.”," I just want to say you know, it's the first month into 2020 and shit is already just fucking old in the Wyatts in the world is saying it's everything is going to shit like, you know, we're still in the one-month free trial and. - it's just not looking good. China's going the coronavirus. We almost had World War 3 and just in general even personal life has been kind of iffy Frank the majority of us. Yeah, but you know
",5,
7510,7311162,"""Martin Luther King said our lives begin to end the day we become silent on things that matter."""," As we weren't the ones who put us in the condition for us to even be acting how we act and I said whoa. Whoa think about that. See I think Martin Luther King says something similar now y'all gonna have to help me out with the quote but it goes something like this. He says that something I'm paraphrasing that those who are in darkness. This is where you're sitting is sinning and darkness
",5,
2737,2200168,Says President Donald Trump is “morbidly obese.”," Yes, I do I do but here's the thing. I don't like that's a lot. My doctor told me he's like you're in the obese category. Or and I'm like, okay. No, are you fucking kidding me? Listen to me? Oh doctors
",5,
11370,2438848,"The U.N. Arms Treaty ""infringes upon our right to keep and bear arms."""," Let's sit down and talk. Let's see if we can figure out a way but we're not going to be able to do this if you have a gun so the new general starts to confiscate guns, and this is. The second amendment is about the right to bear arms. Right? So general Gage is who it is and he is going to go after the Massachusetts militia. He says I'm going to put down a militia
",5,
14027,1422048,"Voter identification laws make it complicated and expensive to get an ID, essentially instituting a modern-day poll tax."," I think that's a little bit ridiculous. So with everything you've got to use a little bit of common sense and I think that's that's just my two cents on the open voting. So yeah, I think having no voter ID is a little bit much but at the same time, I don't really think voting really fucking matters, but at the end of the day, that's what we got. Now the Republican party, they say that they are you know for they're all supposed to be pro-second Amendment, right? And I think that what they mean is great, but I think that it's kind of comical that they would say on their website that the constitution should be honored valued and upheld. And I think that that's comical because they fucking don't I mean to me that's a bold-faced lie
",5,
6874,12357736,Says Johnny Depp died after being apprehended for threatening President Donald Trump’s life.," Maybe they tape super glue. That's just a theory Igloo. So Johnny Depp is dead. All right, and then in an instant finally like, you know what through my friends have died. I think that's the final straw so she's well she would reading up remember she's running a macaw physical killing
",2,"Podcaster claims ""Johnny Depp is dead"". "
19320,7682486,"""Warren (Buffett) still does support me."""," I put my socks on one foot at a time. I don't be so rich he put socks on one foot at a time. Call me Warren Buffett. I got them stocks. Yeah, be eaten that stock Buffett
",5,
15493,11251014,"Small businesses ""create 70 percent of the jobs in America."""," So it's like when you look at that's that's my whole thing is like when you look at new opportunities and you look at new things that emerge you have to know that there's a branch of opportunities that come along with it. And it's your job to be Innovative to create your own job. So when they say 70 90 percent of the jobs don't exist, that's because you have to create them out the emerging industries that are now here, you have to figure out how to optimize them. You have to figure out what is the new adaptation for the economy and utilisation of these different things. You become smart even like damn game an economy
",5,
10421,4685317,"The children coming across the southern U.S. border ""were never examined after they got here and quarantined if they had a disease. They were just sent out across the country. Many of them had measles ... We now have an outbreak of it all because of our immigration policy."""," For Melinda and I the challenges the same. How can we do the most good for the greatest number with the resources we have?. During our discussions on this question Melinda and I read an article about the millions of children were dying every year in poor countries from diseases that we had long ago made harmless in this country measles. Malaria pneumonia Hepatitis B, yellow fever one disease that I had never heard of rotavirus was killing half a million children each year. None of them in the
",5,
7415,9898165,"Obamacare is ""hurting people right now"" with premium increases of up to 116 percent."," No president prior had ever done that what a shame Obama was Obama created the worst medical care. Here Obamacare for the United States truth is it's not totally been abolished truth is it's not been replaced. You're having pay more out of your pocket for healthcare and it continues to rise under Obamacare. He's in those routers truth is we already had the insurance in place with Medicaid and Medicare when we need upgrading your free HealthCare coverage every man woman and child of light that he need to cover getting eyeglasses dental care for everybody. And we need to change the laws where we got Barrel Insurance
",2,"Podcaster claims ""You're having pay more out of your pocket for healthcare and it continues to rise under Obamacare"". "
427,5123588,"“Unvaccinated, you can get COVID and have over 99% chance of survival. Get vaccinated and you can still get COVID and will still have over 99% chance of survival.”"," So of the 1000 that are vaccinated about 900 of them will be successfully protected from the virus and the 30 that are unvaccinated will certainly get infected as well as the 100 that were not protected from the vaccine again, because vaccines are roughly 90% effective. So yes 100 compared to 30 on majority of people. How to get infected in an outbreak are vaccinated but it is this phrase ignores the 900 that were successfully protected via vaccines and doesn't shed light on the fact that 100% or all 30 of the unvaccinated patients in this scenario got infected. So, yes, technically that is true, but I it's a hard phrase because it's not it's not show. It's not giving you all
",6,It's unclear whether podcast claim is about covid.
6038,4493990,"California’s single-payer healthcare proposal would ""force seniors off of Medicare."""," Like it's gonna happen. We have to do something about it. Whether that's introducing medicare-for-all or at least a public option, I think that's the best solution like still that people keep their private health care, but give us a public option much like how California offers right? So that's going to help drive a competition. I mean, it's it literally other countries when I go to them they in Canada for instance. They are horrified by like what we the Hoops we have to jump through that we still might die doing liking surprised every time we like hundreds
",5,
2834,6377822,“The (corona)virus just isn’t nearly as deadly as we thought it was.”," Is this incredible mattress company that takes out all of the awkward uncomfortable and frankly weird interactions that you have to have it mattress stores where you got a weird car salesman guy who can't sell cars, so he's trying to sell you Bunkie old beds you're laying on their there's other. People sweat spin on there and they're there. I don't want to say coronavirus. I want to say that because it would be rude of me to say but you don't know what other people got when they're laying on those damn pills out of mattress stores. Then they're asked you like, oh, we'll just one comfortable
",5,
16202,8279366,Says his Twitter account has 1.3 million followers.," You know Omaha has even played a game yet. They and played a game yet. They have 43 hundred followers on Twitter. I mean just think about how thirsty this T. This town is in order to have that type of following
",5,
16732,9856348,"""We have the highest corporate income tax in the world right now."""," They could have got that anywhere people believed in the. why behind jumping jack text and I made it very clear but most importantly I drove so hard with technology and social marketing and that's the reason why I was able to cover so much more territory and get over 400 Partners in a matter of six months and other tax companies couldn't do it. And now we're the fastest growing tax company in the country right now. We've grown faster than every single tax company that is ever opened in their first year of business. So, well you have wow
",5,
9161,4967448,"""You've been tremendously deceived"" by people who say the Earth is not flat."," These were some Anunnaki type fish people that actually came here and taught them some information. But but basically so you can keep going back the Zulu the Zulu nation in Africa they as well new of all the planets to shapes and sizes. So to say that the Earth is flat and to say that NASA is a liar. Okay, you can say the NASA light NASA has life. There's no doubt about that
",1,"TOCHECK Difficult to interpret, but podcaster claims ""the Earth is flat"". "
9281,8833158,"The United States spends ""almost three times per capita what they spend in the U.K."" on health care and ""50 percent more than they pay in France."""," But if you take the society, what is the cost? What is the benefit benefit is marginal cost?. Which America is a classic example?. America spends 18 percent of GDP on health care about 10% from government at various levels over 8% of the private sector to insurance premiums, but despite that America is 3015 the world in healthcare outcomes worst among the rich countries spending way about any other rich country. Way above any other rich countries, it's a bad model. Canada is a good model
",2,"Podcaster claims that US is ""spending way about any other rich country"" in healthcare. "
11924,7962725,Female buffalo lead the herd.," Meaning that their DNA is free of cattle DNA. So when you eat a bison burger is not actually pure bison. It is Buffalo that has been you know, sort of mated multiple times with with cows and they are like more docile. They're easier to handle their like very much like livestock. Where's the Bison that I'm talking about are wild
",5,
3508,7366290,"Says the Japanese military did not invade the mainland United States after Pearl Harbor because ""they know that almost every home had guns and the Americans knew how to use them."""," Warships bomber ships tanker ships they were all at the head base of Pearl Harbor, which is in Hawaii. The entire US Navy was sitting there and there was many warnings that any time. The Japanese are going to attack Pearl Harbor. They thought was Japanese. They are so weak and useless
",5,
6057,2691931,"""The US has approximately 5% of the world's population and 42% of civilian gun ownership."""," That's how you build a Groundswell. That's how you build a movement and then, you know, when our next president, you know, when our next president like comes in the office, they read a report where. Yeah, someone says by the way, you know America is like the number one the gun Capital the world and there's like, you know per capita X number of guns for every single American. Well Bitcoins the same way now like Americans hold a ton of a coin and it's not like it's all held a coinbase. It's held in Treasures Ledger's steel paper paper wallets and safe deposit boxes steel buried up on Under the Mountain
",2,"Podcaster claims ""America is like the number one the gun Capital the world and there's like, you know per capita X number of guns for every single American"". "
15199,1173031,"Says ""67 percent of marriages now wind up in divorce."""," No, I don't think so. No, he's just being smart just that you personally wouldn't do it. How are they 50% of marriages end in divorce higher actually now, so yeah, they say who got divorced divorced crazy. I was going through two divorces at this point right now 3-3 really who his ask. No, I think I know who relatives I was talking about his relatives divorces
",2,"Podcaster claims ""50% of marriages end in divorce"". "
3172,2260334,“The coronavirus was invented and patented in the USA and then planted in China.”," We just started getting cases in the u. There's two now one in Texas and one in New York, I think but I was reading about it. And apparently there is a patent for the coronavirus a patent. We haven't invented it. Yeah, it was the patent was approved in 2018
",5,
17182,3346975,"""Our debt to GDP ratios, our deficit to GDP ratios are quickly approaching the countries we have been reading about for the last year and a half. We are not far behind Ireland, Greece, Portugal and Spain and all these countries we have been reading about."""," It's always growing and they always think it's going to be a problem soon, but it never is so one thing. I just started pointing out in the beginning of 2019 and somewhat in 2018 was that for one of the first times in recent history where having a large diverse?. Since we're the deficit as a percentage of GDP is starting to increase substantially at the bullish phase of a market cycle. So normally devis go up during recessions or Wars like we had the last time that happened was Vietnam when we had the war in Vietnam. So for the first time in decades, we had a period where we were many years into a bullish cycle with no recession and yet the deficit as a percentage of GDP was
",2,"Podcaster claims ""the deficit as a percentage of GDP is starting to increase substantially"", but does not make comparison with countries. "
17320,1479441,"Says a Portland school gives Muslim students ""their own school provided prayer room, prayer rugs,"" and lets them ""out of class five times a day to pray to Allah."""," They don't put these things in the I don't know. I think if they put these Foods in school did be less Outreach then then making profit out of it and have it in the shots where you think yeah, I reckon. Just like for schools in American Muslim parents. I think people would appreciate them put in like jerk chicken rice and peas or soda popular African dishes in schools. I've recognized to be appreciated more than corporations
",5,
4066,10375834,Say Jeffrey Epstein is not dead.," I picked you in May. You gave me your take your balls for gonna let me rush you get the fuck out doesn't sound good at all. All right, where's Jeffrey Epstein murdered? Absolutely. I'm going to do Hillary Clinton Bill Clinton. No one of the multiple super powerful rich people that he has anything anything else come out
",3,
4817,8833180,"""7 million more Americans are uninsured now than when President Trump was elected."""," Let us follow the bad things of America. to even in case of us the main problem in Insurance based schemes is that there is an extremely powerful lobby of the Pharma and insurance companies who try to increase the drug prices and also the same time make sure that most of the needs or most of the operations or surgeries required are not covered under basic insurance schemes for the charge heavy premiums high cost low impact until Obamacare came 27 million Americans had no insurance even. Only about 10 million are still about 15 17 million Americans have no insurance coverage. And unless it becomes an emergency the remote hospital because emergency care because the court orders is free. But somebody else is paying if somebody's getting Emergency Care Free it is at my costume and playing Freeman and I'm paying premiums
",6,
9616,1477254,"There are a ""multitude"" of vaccines that do not prevent deadly and crippling diseases."," Um, yeah people like AA wound. I want to inject the flew into my child because it's not going to fucking do anything but protect them from the big boy flu, and people need to actually fucking wake up and understand that because really the only way your child's going to get protected if you are against vaccines or if your child can't be vaccinated is like everyone moving out to the middle of nowhere. All like I think it's 90 or over 90 percent of the population has to be vaccinated to prevent the disease disease spreading to those who aren't vaccinated. Yeah, which is a huge fucking problem because if you're not going to vaccinate your child at least tell other people to like if you can't you should be wanting other people to vaccinate their children. So yours doesn't catch the fucking disease
",5,
980,5123678,Aluminum “is in the vaccine” and will hurt the brain.," It's in our air food water. It's everywhere and our bodies have become really efficient at detoxifying aluminum. So the type of aluminum that's used in vaccines is called aluminum. It's not injected directly into the bloodstream. Usually a muscle or subcutaneous tissue, its aluminum salts and vaccines
",2,Podcaster claims aluminum is in vaccines. 
1252,5666427,“84% of all new electric capacity planned to come onto the electric grid this year is clean energy.”," So 80 percent of electricity by 2030. They've the this isn't like legally binding stops it by the way. So 80% of electricity is they say want will be generated by renewable sources by 2030 and by that time they also say that every new car sold in the UK is going to be electric. Is that is Liz? Yeah, that's not like he is now that's marvelous mud. Yeah cyber trucks make they want to put a tax on frequent fliers, but they also want to reduce tax on people who only take one or two flights a year
",2,"Podcaster claims ""80% of electricity is they say want will be generated by renewable sources by 2030"". "
16027,1103745,"The U.S. military ""is in 130 countries. We have 900 bases around the world."""," To keep the economy going. It seems like the balance will shift rather to political power as in Revolution or to overconsumption as in climate change. Well this explains wholeheartedly why we have military bases all over the world. Why were the only country that does that and it's because we need to keep our labor interests and check in order to make sure that we have our the ability to continue exploiting our labor is basically there's so much more they can continue to. to suck out of us if we've already exploited so much labor outside of a so like I mean, we have to keep that up if they want to continue keeping the ruse that we're benefiting from this I thought it was to keep people safe
",2,"Podcaster claims US has ""military bases all over the world"". "
9161,2307911,"""You've been tremendously deceived"" by people who say the Earth is not flat."," Well guys, you might be wondering why the hell would I be talking about this? So I'm actually not so interested in the Flat Earth debate. In fact, I think it is kind of ridiculous. I do not believe the Earth is flat. I mean I don't but I've been curious for a while. What are some of the arguments so I found this website
",3,"Podcaster claims ""I do not believe the Earth is flat"". "
9937,4973832,"""The Civil War wasn't about slavery."""," The Lost Cause myth was entirely and completely built upon contradictory false foundations to justify the confederacy's rebellion and eventual demise in the war. Most pro-confederate those who are sympathetic to the Confederate cause and staunch Southern Rebels. Like to say that the war was not about slavery. The war was about states rights. Not about the institution of slavery that that's what they say
",3,Podcaster is disagreeing with those who believe Civil War wasn't about slavery.
15307,6850446,"Says the New York Giants ""train in New Jersey, they play in New Jersey and most of their players live in New Jersey."""," New York City is such a big city that actually spills a little bit into New Jersey and what I mean by spilling is that. You may hear New York City, but in reality, it actually might be a little of New Jersey for instance the two football teams with New York in their title the New York Jets and the New York Giants. They actually play in, New Jersey. And getting back to Newark the largest city in New Jersey. Is actually the second largest airport that you might fly into if you are going to New York
",2,"Podcaster claims ""They actually play in, New Jersey"". "
11780,596040,"The United States has seen ""a net loss of people with health insurance"" because of Obamacare."," Tell him it's communism explain it. Why how its Marxism? What is the endgame of feminism?. If you hear a government talk about Healthcare bring up this health insurance. Just correct, you know the little bit people were like being, you know, something to knowledge that you'll get doing it charitably of course, don't call anybody an idiot, but in reality if we want Western Society to be at least saved by obviously do all the everything we just said, I just got done saying but men's voices cannot be silenced. They got to be heard
",5,
19681,3225931,"If the U.S. stops adding to the Strategic Petroleum Reserve, it ""will lessen worldwide demand for oil"" and reduce prices."," however, the US would soon have significant problems of its own in 2050 to the Texas oil fields ran dry making the country severely vulnerable to energy shortages and then in 2053 the new plague began to ravage the US population causing an estimated 200,000 deaths and prompting the government to close the country's International borders nuclear fear has gripped the country when in that same year Tel Aviv was. Droid by a terrorist nuclear weapon and in the following year warring Nations exchanged nuclear weapon strikes in the Middle East things started to heat up. That's basically what this is saying is the United States becomes more desperate for oil. We have a plague and then some bombs are released in the world through some sort of nuclear Exchange in the Middle East in response. The Americans began project safehouse a series of underground vaults designed to survive nuclear war or an epidemic
",5,
10963,10252724,"Women still do not get paid as much as men, even ""for the same work, period."""," I don't understand the plight of a Jewish. I'm not Jewish or an African-American because I don't walk in those shoes. So this commentary is only coming from the things that I have read and I have heard and conversations that I've had with a lot of women who I care about and one of the main things that I think that the comes up, especially when it comes to equal pay in the workplace is equal pay for the same job. That's the main thing. We're not talking about people that are doing something different
",1,Podcaster claims having read and talked to other women about how equal pay for same job has not happened. 
