Fact Checked Claim Index,Podcast Claim Index,Fact Checked Claim,Podcast Claim,Stance Agreement
12883,645175,Says Democratic Party created the Ku Klux Klan.," Malcolm X was born Malcolm little on May 19th 1925 in Omaha, Nebraska like Elijah Muhammad. He was the Son of a Preacher the Reverend Earl little and his wife Louise Malcolm was a victim of racism before he was even born one night while Louise was still pregnant a group of men wearing white hoods approached their home on Horseback. It was the Ku Klux Klan the. It's been shouted for Earl to come outside Earl had preached in favor of black empowerment and the men wanted to run him out of town. Earl wasn't there that night Louise open the door hoping the clansmen would be moved by her pregnancy
",5
312,9105194,"“324,000 pregnant people experience domestic violence during their pregnancy.”"," So they're not a motor vehicle crash. Remember that fall could have been a push down the stairs by a batter or. Any significant other and again any other kind of trauma that a woman is so much more likely to be abused when they become pregnant. So it's like an inflammatory response to the batter because you know, someone else is getting attention other than him and he doesn't like that so they actually begin to abuse more physically and you don't want to miss those signs and symptoms because of course. Self-blame is what happens these women are going to try to protect their batter whatever
",2
2746,2671054,"If masks prevent coronavirus, governors would have given them to prison inmates instead of releasing them."," Gives them a run for their money a tiny bit terms of like Global Communications, but people use the masks to protect themselves from being identified at the protest and then the second thing is like they're tear-gassing protesters. Well, they're shooting rubber bullets at them and stuff. So the masks help protect and that situation and they're now they're going to make it a crime. Just to be wearing them. It has been a little unnerving to see the escalation of what's been happening in Hong Kong
",5
16284,5071982,"The 2011-13 state budget ""cuts overall funding for public schools by $1.6 billion"""," It on this is it in like I'm saying them is 212 million and is it is it in millions or and ya know it's 212 million is what it's listen to this. I don't maybe it is just football. It's definitely not the whole schools operating budget. I say you're right because if you just try to I mean just think of the size University they employ, you know, 10,000 people. on top of the buildings in the
",5
8734,11080625,"Marijuana is a Schedule I drug, ""which you understand means that you can’t do any research about it."""," You know 2012 was when we started exploring the subject, you know fundraising. So it was like a six-year journey and it you know, it's a really profound Journey because I think Ricky and I were just kind of following the Story in real time and we were going to Israel and meeting. Son, you know trying to really show like a high high level of research that's going on around cannabis that people aren't aware of. So it's just, you know, it's a mess. It's a multi-year process part of that has to do with fundraising and things like that
",4
14125,9850825,"Wealthy taxpayers, not middle-income earners, get ""most of the deductions"" in the tax code."," So the limit for Ira did she is $6,000 401K is 19,000. So those are vehicles that you could put money in for your retirement and that that helps you save money on your taxes. Well, that's probably one of the biggest tax deductions that people have if they just our employees because. Allows you to save up to almost $20,000 in a form like a 19,000 if and if you're over 55, you can actually save even more than that, but that's a pretty sizable amount and it goes back to you know, it's in your account and it grows for your retirement. So is and also reduce your income for that you guess how yeah, that's that's what it does
",5
16648,9929674,"The U.S. has ""47 million people on food stamps. That’s 14 million more than when the current occupant of the White House took over."""," Throwing every dollar we could at researchers unemployment benefits and food stamps instead. Our phds are being paid. So little they have to increasingly rely on food stamps, which we are actually reducing instead of increasing that those on Wall Street are earning huge bonuses that actually reduce GDP. Well scientists to massively increase GDP are being given food stamps to survive which where then. And despite that even further reducing GDP is a perfect example of a system that is not functioning
",5
16902,8584884,"""We lost more jobs in this great recession than the last four recessions combined."""," Doubt are the ones they're going to lose. The ones are going to win are the ones that can expand into the market and I understand people lose their jobs during recessions. That's probably the biggest down the biggest problem of recessions that people lose their jobs as a lot of suffering during recessions. So you should be working towards, you know, making sure that you have things like a long long term emergency fund in place. You should be working to have a more secure job if you're not extremely hireable
",5
1945,5951993,A photo shows Dwayne “The Rock” Johnson on Epstein Island.," Fuck kill got it. So my first three four you are Chris Pratt. Hmm, Dwayne The Rock Johnson. Mmm or Chris Hemsworth easy-peasy. God I don't want to kill any of them
",5
10479,10939453,"The United States is ""the only advanced country on Earth"" that doesn’t guarantee ""paid maternity leave to our workers."""," I think, you know employees increasingly. We're working within the confines and the rules and that are set by businesses. You know, we're told how many hours we have to come to work and very seldom you see maternity leave Innovation and you know actual policies that are designed to enable people to be happier and to work more productively and that's not rocket science saying,. We're seeing people choose to not work for organizations because organizations actually don't understand the people that work for them and it's more than just, you know, a flexible work policy Etc. It's simply should be redesigned around
",2
9616,4964498,"There are a ""multitude"" of vaccines that do not prevent deadly and crippling diseases."," Just like everything about the hair and just I'm into natural. I've always been into natural remedies. I don't believe in vaccines. I don't take lots of medicines and things like that. So I was like, you know nature is the picture of also I can fix this problem and what I was coming across especially within like the African American Community with hair care are here care is so toxic
",5
10006,5214394,"47 percent of Americans ""can’t pay for an unexpected $400 expense through savings or credit cards, without selling something or borrowing money."""," Everyone else trying to respond to actual economic incentives and actually having to earn and do all of the work have nothing. They're in a worse situation. Everybody is on the verge of I mean that statistic that 40% of Americans cannot afford an unexpected $400 expense. That is a sick sick organism our entire economy. Is in shambles that is that is what that means
",1
1682,7714617,The number of coronavirus deaths is “almost nothing.”," It has it has it might be a bad guy. Well at this rate at this rate if it is if it is the fucking coronavirus inside the system, that's very unfortunate and it's going to be really fucked up for New Japan because. If you've read about the coronavirus, it's very it's it's it hasn't killed a lot of people. It just gets them sick. Yeah, just get some really sick
",2
9196,8979703,"Martin Luther King Jr. ""was a Republican.""","5% in 2019, which is 0.2 percent lower than 2018 European stocks Traders slightly lower on this news while Wall Street was closed for. Martin Luther King jr. Holiday ASX Futures are indicating a drop on the open this morning. That's all we've got for today
",5
8966,8087952,"Foreign aid ""is less than 1 percent of our federal budget."""," So the question now remains does Nigeria still need a door not because it's had this Industrial Development and its economic growth. There's lots of people questioning whether they should still receive Aid the UK actually gives Nigeria 300 million pound every year. This is very little out of that Aid budget of a countries. However, Nigeria actually has its own space program. So and the face of
",5
6128,1423368,"""George W. Bush doubled the debt from $5 trillion to $10 trillion. President Obama doubled the debt from $10 trillion to $20 trillion. Now we're on course to exceed $30 trillion in the next seven years or so."""," two billion dollars to the markets these fucking disgusting pieces of shit human beings typed into existence. Ninety two point seven billion. I think it was I mean what I mean, we're already in fucking several several trillion dollars in debt and it goes up by the second but by the tune of the five something to 92 billion dollars they put in in a circulation isn't even backed by anything. It's not backed by gold or currents has been backed by gold since what?. 30s something like that, or is it earlier than that? Maybe now it's not earlier than that
",5
8295,1656649,"California has ""the sixth largest economy on planet Earth."""," So, I mean why not try to. Make some Revenue off it pay off some debt. If I'm not mistaken, California is one of the top ten, you know in the world when it comes to strongest economies just its state itself everybody hates on California, but two-thirds of the world's agriculture the clothes you fucking wear on your back it come from California guys. I hate to say you guys hope California Falls the ocean all you want but I mean, California, we are it like we do so much for this country in, California. And you guys just disrespect us because all you hear on the news is retarted Governor did this and you know, this is the new law in California, they're doing this, you know, but at the end of the day like everything starts to California music entertainment and then it's sweeps the nation Eastward, you know what I mean? I'm I'm sure that shit that we here first we get three months before you get it on the East Coast because that we here we are the way we remove like it starts there and move west coast is the best coast homey
",1
16354,3087946,"Says scientists are ""in dispute"" over whether being gay is a choice."," I would fucking take 50 years off my life to be able to do that and like start out. Like I never would have chose. This anybody says like oh being gay is a choice. Well the fuck are you have no idea what you're talking about. I never would have chose
",4
3451,1338810,"""NEW INFO SAYS KOBE BRYANT AND ALL 4 OF HIS DAUGHTER HAVE DIED FROM HELICOPTER CRASH."""," I low belly his wife daughter. Alyssa plus carry most surpassed in the crash. So those are the names of the people who died in the crash with Kobe. So those names must be out now. I'm going to have to look them up and see exactly who they are
",6
132,2473494,"There are 500,000 “missing kids a year.”"," Paul who remembers milk cartons with a child's photo on it every single person who's seen an episode of stranger things. Yes eggs, or where's Barb who grew up from stranger thing? Oh, yeah who grew up in the 80s? And that's yeah. Well the point is is children went missing. That was literally that was before milk went down all the time. The point is it was way more
",5
9569,10253849,"About ""3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns."""," I think it does come down to mental health and I think a lot of it also comes down to kind of the underlying current that's in the United States right now where a lot of people claim that they are buying these weapons for protection and so on and so forth. Like I got a lot of friends that own weapons for hunting and that's it and one of the arguments that that's kind of pro-gun is are you gonna punish this.9% of the population that owns guns that would never do anything harmful with them just because this point one percent has done something bad with them. You get the people who are saying that well more people are killed in car accidents every year and you're not going to ban cars. Are you well, then I'm sorry, but the biggest issue with that right? There is the fact that gun serve one purpose and cars serve a purpose cars service
",2
16202,1255824,Says his Twitter account has 1.3 million followers.," He'll tell us who's been around for five years. He has quite a following on Twitch. I think he's just hit a thousand subscribers, but he's got something like twenty six thousand followers. And you know, he makes us cause he's proud so and he's quite an entertaining guy. So we're hoping that we will have him back on again in the future
",5
5882,4251210,"""A majority of Americans now live in states where they have decided to legalize cannabis,"" including recreational and medical marijuana."," The state is actually making. Is towards implementing consumer privacy and security laws and this is going to be really interesting to see how this pans out so that the bill actually starts to give consumers control over their personal data privacy, which is a nice relief because to be honest with you are digital Footprints are just everywhere over in Wisconsin. The new governor has actually proposed medical marijuana legalization and possibly looking at that State maybe another state to flip over to recreational marijuana usage is. So definitely keep an eye on that over in Washington state Washington is looking to increase the salary requirement for exempt status and employees and make other changes at the state level to White Collar exemptions. Now, we've already got a lot of stuff going on with flsa and what that is going to look like as a nation and that information hasn't rolled out
",5
3842,10257633,"""For people making between $50,000 and $75,000 a year, their taxes are going up about $5,000 because the fact is, they will pay more in new taxes"" for Medicare for All."," Everyone has a barbecue on Saturday afternoon with the fucking kids in the neighbors. Everyone's on the same level. Everyone gets taxed the same everyone gets free Medicare and if you make more money, they tax you relentlessly once you get over like the $250,000 a year mark, if they hit like 50% taxing across the board the more money you make the man. Any on that regard? It is fair. I personally my personal opinion if you make more money you get taxed more and then you get stuff like free healthcare and you know, good good social system schools all that stuff
",5
3286,5015330,Quotes actor Will Smith as saying: “I’m not afraid to say that Trump and his supporters are ba…”," There's a million reasons why you don't. Have time today to do what you want to do, but there's one. I don't know if you've mentioned it before but there is a printed out a quote that said Will Smith, but I know know if he was the first one who said it but I love that quote. It's above my desk and it's don't give up what you want most for what you want now and I always remind myself like every day when I'm doing something it's like, oh I got to do this and I got this. Also important but I'm asking myself
",5
362,9528069,"Says Novak Djokovic said of Simone Biles: “Pressure is a privilege, my friend. ...If you are aiming to be at the top of the game you better start learning how to deal with pressure…”","SEP.Good day and welcome to my podcast and this episode I'll be taking you on ways to get better at working on the pressure now. Everyone has to deal with pressure. But in their personal and professional lives and the workplace this pressure often manifests itself in the form of life, then lines demands from the boss employee performance issue and other abstract that getting away. So I'm going to be giving you some tips on how you can overcome some difficulties during working on the pressure
",5
8566,4698456,The presence of gorillas calls into question the concept of evolution.," I mean you guys can let us know but also like I should be ongoing. I think there's more that we can even talk about their there's more when it comes to projects that are happening on entertainment realm like those things really do take a long time to get off the ground but. I think just in general like the gorilla is evolving always and like we're now it's I think there's an idea and a perception about gorillas that generally is pretty far away from the reality of gorillas. We haven't done this we haven't shared stories and right and that's why we're kind of doing this is so that when people are like yeah. Oh, what is this thing you I can go here listen to this and then they go like oh, okay
",5
18078,3347250,"""We spend more money on health care per capita in the United States than any other country in the world. Of the 30 developed countries in the world, we spend 2 1/2 times more than the average. Of the country that spends the second most per capita, Switzerland, we spend 175 percent more."""," You know Healthcare is one of them. So talk a little bit about your reasoning for putting the health care in here. So the US has by far the highest health care costs the world on a per capita basis or as a percentage of GDP. So higher than you know, Switzerland Germany Sweden, France Canada, pretty much every other developed country and that of course is another large impact on the consumer and on businesses because it's you know between what?. Actually government to so government businesses and consumers are all paying into that in different ways
",1
11241,4917670,"""For the first time in history, (Thor’s) hammer is being held by a woman."""," Freya how nice it is to be graced by your beauty though. I come bearing dire news. Thor has lost his hammer. Loki told Freya of The Misfortune that happened the previous night. He asked her for her magical feathered cloak that would help him in finding the hammer many
",5
11364,1285668,"""The number of terrorists out there"" has doubled."," The lowest was switch, of course because it's brand-new and probably most of the players there are new. So I'm sure that number will increase over time but it's pretty similar across all of them. The next one is how many terrorists captures there were in 2018 and it turns out there was a crapload 28 million terrorists captured. So that's just the terrorists not the other 228 million is a bucketload as a big number but not surprising with what you were what you need for the terrorists and then the reputation grinds so not not really an. Did that it's a good it's a good result really it is people actually have been engaging with that content
",5
19532,10318476,"The musical Mamma Mia! has ""been selling out for years."""," It's great escapism, you know, and it's every time I've been I'm like Oh my. Loved one has more wins. A lot of musicals have been to Mamma Mia four times. I think he's equals amazing is out. Of course for your lifting goddamn
",5
6818,10432742,"""Despite decades of marijuana being used for smoking in the United States, there have been no reported medical cases of lung cancer"" attributed to marijuana."," That is really helping people. I'm just confused as to like why like if it has these many if I like these many things that it offers to the world and especially in terms of like they also have the odds have like set to reduce cancer and reduce size of the tumor. I've heard of that there have been many studies around the world and I think there's 25,000 papers that have been registered on it on the use of cannabis for certain things and obviously cancer reproduction cancer cells has had many. Studies and has proven in most cases to be quite successful. But again, it depends on the Journey of the cancer cells and I'm not a doctor so I can't comment specifically but I mean, it doesn't take long to find some some research papers about it
",5
12899,6148411,"""The average student comes out of college hundreds of thousands of dollars in debt."""," It's his know this so that are going to charge students more money within well what happens higher student loan debt? Yeah. It's not a good deal. Don't don't go in debt for college. Yeah in like, I mean, it's so expensive and that's why. Why you need a pie for scholarships and don't get loans, if you don't need it because loans 8% on a student loan
",5
3581,9159823,"""You have literally 140 people dying every day of opioid-related overdoses."""," This could be a miracle drug for people that are trying to get off of opioids. There's 215 million prescriptions that are written each year for opioids 25% of those folks. End up struggling or misusing their prescription to million become addicted each year and last year there was about 60,000 people that died from overdoses, which is a hundred fifty per day, which so we estimate over the next decade like half a million people are going to die from complications of using opioids. Right? I mean, there was a huge very recently in the United States. There was a huge class action lawsuit against Purdue Pharma, which is the company that created
",1
13218,8558818,"""There is no clinical evidence that vaccinating healthcare workers protects patients."""," Lou in vaccinated versus non vaccinated individuals is around one percent. So the total risk difference is around 1% which can basically be translated to 0 as in completely useless. So there really is no compelling clinical data whatsoever that vaccinations have really any impact at all again. I'm not saying you can't get them totally up to you you do what you want to do, but it's literally a risk. Of like one percent so that's not enough for me
",2
3451,4703001,"""NEW INFO SAYS KOBE BRYANT AND ALL 4 OF HIS DAUGHTER HAVE DIED FROM HELICOPTER CRASH."""," It's like it's so the crutch of my brain and how my brain works right before this time marthy wit and let out a little party sounds so it because we were talking about a tragedy we said we were going to keep it light but we gotta talk about I got to talk about it. So we're recording this. Monday night yesterday Kobe Bryant and his daughter and seven other people died in a helicopter crash. I like came out of therapy and got the text that it happened. So would have been like maybe three hours after
",4
18687,9307562,"""More people are driving under the influence of drugs than are driving under the influence of alcohol. A recent roadside survey showed that 16 percent of the people tested, tested positive for illicit or licit drugs. That's significantly higher than alcohol."""," Pain across the city Plastering signs urging the people to support prohibition close the saloons. They said in Big Red Letters. If you believe the traffic in alcohol does more harm than good. Then stop it Patrick shook his head at the naivete of the sentiment the traffic of alcohol was not going to stop and now that it was in the hands of gangsters and Crooks. It was about to do a lot more harm
",5
6288,5161374,"""Now it’s official: FDA announced that vaccines are causing autism."""," Obviously that ever would not contradict themselves to make it clear excess and antibiotics may be excessive but the river doesn't say no antibiotics period is not coming out as a crusade against it either now, I understand the emotions of a parent who has seen a child been hurt. And a tribute perhaps to some antibiotics or to other vaccines or other things. So first of all, I don't know if it's been established medically and independently and we know some of the hoaxes that have become exposed that are not correct with autism is relationship with vaccines the fact that some people hold on to it. Look that's why we have doctors and we try to find objective advice. So we understand that that's why it has to be addressed sensitively and compassionately not in the dogmatic way and I hope I did that to the best of my ability
",3
12899,10976837,"""The average student comes out of college hundreds of thousands of dollars in debt."""," I do think there are parts of that system parts of the world that are inherently predatory and they're designed maybe they were designed years ago either with intention or accidentally to take advantage and to exploit. I think the Health Care Systems and the education systems in the US are very predatory. And you know it's to do go to college come out with $100,000 of debt $200,000 of debt. What is that? What I don't get it?. So that's not that capitalism is not bad
",2
8589,5190414,"""I believe we should have tax on carbon and deal aggressively with climate change. That is not (Hillary Clinton's) position."""," So anyway, we'll I guess I'll just I'll just end this with one triggering. I meant about this whole piece is there is nothing that will fail as spectacularly and is so obviously corrupt and about creating massive bloated financial and additional bloated Financial derivative. Then the carbon tax it will do nothing to solve whatever this perceived problem is with our climate and it is the biggest fraud and attempt at suffocating the economy of money to prop this. Prop this bloated Financial system up for another, you know, five to ten years on a completely fake Financial derivative that will make a trillion dollar market out of nowhere that will whose value will be entirely sucked out of the everyday working man with all the political outrage about climate change. There is nothing even close to a symbol instead of a political solution
",6
9161,4296848,"""You've been tremendously deceived"" by people who say the Earth is not flat."," about because orbits bounce. Now my original plan was to read a all the tweets out because I was like, oh, there's probably not that many but then I looked it up. There are over 50 tweets of him claiming that the Earth is flat. Wow, so he definitely went a little crazy there. Everybody was like, oh this was a publicity stunt but publicity stunts don't go 50 tweets
",3
14273,3555452,"""Guns have murdered more Americans here at home in recent years than have died on the battlefields of Iraq and Afghanistan."""," Let me just on a quickest of quick side notes if you guys have seen the box art for this game, it clearly shows Joker on the front. Of the game with his his pistol in hand. That's as much as we love our guns here in America and has seen just as as Bastion of gun violence to the rest of the world, which is completely not it's just not even go there. I wonder if that's going to be censored for a western release or not. I hope not but we'll have to see if that is indeed the case when you summon a Persona you can choose a skill with the up and down
",5
14447,595712,"The United States has ""the best health care delivery system in the world."""," Can't sell across state lines of the whole thing. It's not Healthcare Healthcare is not the Prouds health insurance. We have the best health care in the world. They health insurance is a different story 9i method of Brandy one's own opponents with sweeping and demeaning language that abstractly categorize them as quote right wing or counter-revolutionary. You could also throw in because this was written 2016 then in the r word racist has been thrown out way more in the last couple of years
",5
10505,11571602,"Milwaukee ""incarcerates 1.2% of white men"" and has ""incarcerated over 50% of black men in their 30s.""","4 million people this accounts for 25% of all imprison people in the entire world, despite the us only having five percent of the world's population while people of color make up 30% of the US population. They account for 60% of those imprisoned. The incarceration rate for black men is six times higher than white men and one in three black men can expect to go to prison in their lifetime. The number of prisoners in the US has increased 400% since the Reagan Era nearly 50 percent of federal prisoners and 18% of State prisoners are locked up for nonviolent drug offense crimes due in part to the War on Drugs. Also during this time
",2
15872,5810123,"""According to Wikipedia, there are only five countries in the entire planet that are more unequal than the United States in the distribution of our wealth."""," It's a greater chant goes to their people are very well connected and. So the other classes and that is of course, that's that's explosive for society. We mentioned that the varying degrees of wealth within a society if we look at let's say a selection of different countries. How sustainable do you think the the euro currency system is given that you've got clearly delineations of wealth between the core and the periphery and that's manifest in the in youth unemployment. Wait, well, the funny thing is in the periphery you have I mean everywhere you have the same type of problem Google department and greater region inequality
",5
12579,589716,"Because of Gov. Scott Walker’s budgeting, a greater percentage of general fund tax dollars is ""going to pay off debt than ever before in our history."""," Should you not be able to pay for it? All right, some people have an ethical problem with that, but I'm just telling you that. You won't be questioned on that and I think that's so important to recognize that student loans should be a high priority debts. Same thing with tax debt by the way tax debts not going anywhere. So pay off at tax debt. And if you have to stop paying on your credit cards just to pay off your student loans and your tax debt do that do that before you file bankruptcy other thing to consider in your planning process is
",5
777,5123581,60% of new COVID-19 patients are people who received the vaccine.," So the first one that I commonly hear is during an outbreak a majority of people that get infected are vaccinated and. In short yes, that is true. A majority of people that get infected are vaccinated. But this phrase is is not showing you the full truth. So let's play with this scenario here
",2
16267,3547959,"""Recently we have seen our government debt grow by $3.4 trillion during the first 29 months of the Obama administration -- the equivalent of about $4 billion per day."""," Yeah, because 21 trillion Donald Trump has been honor now. We've been in that long before Trump as a thing. I think like a solid 10 trillion in debt during his administration. It's just it's just you know, the national debt is. Has the I don't even think it has anything to do with any president
",5
5957,2891583,NASA Has Just Confirmed Earth Has A New Moon," My name is Christine Rodriguez. And I decided that today would be an auspicious day to begin the series of nakshatras. And so it's a new moon. It's November 26 2019 as I'm recording this we are in a new moon and it's a very auspicious time to begin new intentions and begin new Endeavors, so I decided that today. They would be a great day begin this series which I'm really excited about something that really sets apart Vedic astrology from Western astrology is the use of nakshatras and nakshatra really just opens up an entirely new ballgame
",5
